哈尔滨二次封城开始了！ 新乡 hscr槐树传人的微博视频,;回复@爱吃螃蟹的嘟妈 的表态:@巨蟹座辣辣;回复@花升花落 的表态:@花升花落;,04月19日 21:50    ,rumor
哈尔滨好像封城了 哈尔滨 杨锐_丰乔的微博视频,回复@网名而已不要也罢ye:现在白天零上18、9需要带棉帽子？;回复@网名而已不要也罢ye:...你这啥逻辑？风多大你不知道？他们一站站一天 多冷啊;冬天的视频呀;,04月15日 12:41    ,rumor
哈尔滨已经封城！因绥芬河口岸疫情影响，现在不进不出，高速路下来的从哪里来回哪里去！ 木南者也的微博视频,20度的天气   交警通知带棉帽子吗  造谣可是违法的;这天带棉帽子？;不用谢 评论配图;,04月15日 15:47    ,rumor
俄罗斯150万人准备从三个口岸，绥，黑，抚远三个口岸进入中国，现在第一批，未来一个星期全牡丹江地区各市县全部接待俄罗斯回国人员，俄罗斯己封城，俄罗斯不治疗患病人员，在俄罗斯人员全部回国。 http,回复@嘟嘟猪G:假的，在俄公民一共就16万;哪有一百五十万这么夸张;真的假的;,04月06日 20:38    ,rumor
这钱没有人眼红，这才是值得拿高薪的人！人民心服口服，支持张文宏#钟南山 一些欧美国家不是真正的封城# 曝料一哥的微博视频,这样顶尖的医学专家年收入184万不算高，比起那些明星歌星少的可怜了，连零头都不够！;说实话这次疫情他不仅表现出来的专业素质让人印象深刻，个人呈现出的独立人格更是让人称赞，希望不要污染了!;和那些戏子比比差远了，人民需要这样的人才多挣点钱;,04月06日 15:28    ,rumor
#马鞍山市医生确诊肺炎带病看病#马鞍山估计已经封城了                 ,,02月06日 23:13    ,rumor
#封城日记#我的城市是湖北最后一个被封城的城市，金庸笔下的襄阳，郭靖黄蓉守城战死的地方。至此，湖北省，封省。   襄阳,官方的消息是没有封城，好消息是襄阳的机场很多航班已经取消了。所以大家不要担心。我们襄阳人现在能做的就是做好自我的防护，不出门，不给别人添麻烦。我们一起加油;虽然我支持封城不给别人添麻烦，但是想想湖北人民很多都是无辜被传染的！吃野味的人真真都该死！！！;爆哭😭抱抱你，亲爱的，加油！;,01月24日 23:45    ,rumor
大家都在发新年祝福新年快乐，我真的一点都没法融入到新年氛围里，信阳明天就封城了，我真的觉得特别特别恐怖，身边还有很多家长朋友不去重视，我头都大了。真的很害怕信阳会变成第二个武汉，上海重庆那些城市现在全都说是重灾区，信阳远远比他们严重，却没人重视，没有帮助和及时的处理才是最让人崩溃。希望河南不要抛弃信阳，帮帮我们吧。为什么不早点封，等到七万人进来了才去封，真的来得及么？ @人民日报 @新浪河南 @平安信阳 @在信阳 #信阳封城# #信阳肺炎# #来抄河南的作业# #河南硬核#,信阳zf好像没有管市里……听说县里都挺好;我们家今天还家庭聚会了，我爸出门说什么也不戴口罩，我武汉回来的朋友昨天还在去网吧玩，我男朋友连续三天出门去那种公共场所打麻将，我真的快急死了，嘴快说烂了手指头快发烂了，总有那么多我爱的人不去重视我真的又急又气！！！;我真的;,01月25日 00:25    ,rumor
襄阳正式封城，至此整个湖北封省，封一个省，护一国人，大家多多保重 襄阳,瞎造谣;道听途说，造谣生事，无稽之谈;瞎造谣;,01月25日 01:18    ,rumor
#土耳其发生6.8级地震##土耳其旅行##河南新增23例确诊病例# 信阳封城了，土耳其发生地震了，疫情又严重了，机票可以退全款了，下个月就该回国了，我该去哪 马尔代夫,别回来 真的;别回来了，疫情过后回也没关系的！;信阳没有封城 评论配图;,01月25日 15:21    ,rumor
#全国确诊新型肺炎病例#坐标河南信阳，跟武汉隔了一座山的距离，已经要封城了，已经有人开始抢超市米面了。病例应该比公布的要多些，信息更新没这么快。,你没了;有些事清楚就好，不必说出来;回复@可爱大先生:爱信不信，自己出去超市看看，年都不拜了，看还能出城不;,01月25日 12:40    ,rumor
#襄阳封城 湖北封省#  大襄阳作为最后一个也封城了，而我在封城的十堰。湖北加油(ง •̀_•́)ง 大家一定要健健康康啊!我自己也要加油啊 十堰,回复@美少女陈翠花:哦;回复@活捉一只少女C:十堰封了，只允许火车和飞机行驶。公交车大巴车全部停运。搁几百米设个关卡，有专人守护;襄阳没封;,01月25日 01:06    ,rumor
#封城日记##襄阳封城##武汉加油# 襄阳今晚也封城了 希望奋战一线二线等医院的医生护士们 一定要照顾好自己 谢谢这些天使冒着生命危险救治 希望早日可以度过难关 平安健康,哈哈哈哈哈哈围观;没有吧;已经封了……襄阳东，西都是警察 假🧶;,01月25日 01:02    ,rumor
#襄阳封城#过会襄阳也要封城了，到25号0点，湖北省全省封省 ，希望襄阳的疑似患者能尽快确诊治疗吧 襄阳,怎个湖北省，就还有襄阳没封了;新年快乐，做好防护;回复@查理的杯子:全省就襄阳没封了;,01月24日 23:48    ,rumor
#襄阳封城#最后一座城被封，自此，湖北封省。在这大年三十夜。春晚正在说，为中国七十年成就喝彩再过几天就是春至了，相信湖北终将熬过寒冬，迎来新生。,回复@斯蒂芬胡闹:哈哈哈，不封哪里也去不了;回复@飞鸟与芍药:不过客车停运了，旁边的也封了，我们相当于反向封城了;回复@斯蒂芬胡闹:卧槽假的;,01月24日 23:57    ,rumor
#全国确诊830例新型肺炎病例# 大年初一 襄阳封城 至此 湖北封省 载入史册 孝感                 ,别瞎叭叭了，没封;没封城;这是没有封城吧？ 评论配图;,01月25日 01:02    ,rumor
#襄阳封城#襄阳25号0点封城了，作为最后一个封城城市，至此湖北封省了。,,01月25日 00:30    ,rumor
#襄阳封城#2020年0点襄阳封城湖北封省🙏望一切安好 襄阳,确定封了吗？襄阳的消息在哪儿看？;,01月25日 00:20    ,rumor
#襄阳封城# 湖北省最后的一个城市于2020年1月25日零点零时零分正式封城至此，湖北省，封省                  ,,01月25日 00:18    ,rumor
凌晨6点开始宜昌城市主干道和高速路封路，开始封城了🙏🙏🙏一小时后襄阳封城！至此，湖北封省！湖北加油……兄弟姐妹们，春节期间大家注意防范，看样子，挺严峻                 ,你也要好好照顾自己;河南进入湖北的高速封了没有？;主干道是什么意思?至喜大桥会封吗？;,01月25日 01:00    ,rumor
就在一个半小时之前襄阳也封城了，湖北省全境已封！全省缺少大量医疗物资，武汉市18家医院公开向社会求助医疗物资，下面地级市的医院的情况只会比武汉更糟糕！希望广大网友能够扩散出去让更多有能有为之士支援这些奋斗在一线的医护人员！（不要钱款只要物资）！作为一名武汉市民在此感谢来自全国各地驰援武汉的医护人员，感谢海内外向武汉捐献医疗物资的朋友们！                ,造谣？？？？？？？？？;没有发布封城通知！！;没封，别造谣，我们襄阳只是部分铁路停了;,01月25日 01:38    ,rumor
今天凌晨襄阳宣布封城，整个湖北省封省了！新年第一天，愿亲人朋友能平安！愿战斗在一线的医护人员平安！愿那些素不相识的人们都能平安！                 ,这边很多湖北逃出来的，他们自己开车抄小路到湖南，然后高铁回来。广州将是一个硬战;,01月25日 11:53    ,rumor
1月25日0：00襄阳封城。至此，湖北全面封省。害怕吗？有点。我的体温整天都在37度，要求自行隔离的体温是37.3度。就在刚刚，我最好的朋友被召回武汉了。路早就封死了，从乡镇到县城到地级市再到武汉，严丝合缝。我不知道她要怎样穿过封锁抵达前线。她说：我还挺怕死的。时间往前推几天，武汉连夜封城。朋友在电话里说着说着就哭了：我怎么办啊？我开车逃出来了。要死也死在家里吧，我不想一个人死在这里。车开出两小时，她又后悔了。如果她已经被感染了呢？她走到哪，就会把病毒带到哪。她调头往回开，到武汉了，却进不去了。她说：我才知道，什么叫眼前无路，回头无岸。是新的一年了啊，愿你我都还有许多新年。 荆州                ,回复@漫游在茫茫黑夜:很无奈了，在所有人都寄希望政府作为时，它竟然只是是“谣言”。封城不会引起恐慌，在周边省市都严阵以待，而唯独襄阳没动静，才会让当地人恐慌吧;回复@千乏:是的，我查证了，襄阳还未封城，只能说当地政府相当不作为，在邻省邻县都严阵以待的情况下，它还能如此心大。;官方已辟谣！没有封城！扩散消息前请先查证一下真实性！谢谢！;,01月25日 12:28    ,rumor
#全国确诊新型肺炎病例#湖北坚持到最后的一个城市襄阳，今晨0点封城。整个湖北所有城市封城完毕，无公交，无地铁，不能上国道。不进不出。相信国家，加油湖北省！加油武汉！🙏🙏🙏🙏🙏🙏封一省护一国 十堰·郧西县,二月吉祥;友友元宵节快乐🏮🏮照顾好自己;🙏🙏🙏🙏🙏;,01月25日 11:30    ,rumor
武汉“封城“隔离后并不是什么都不做，现在开始空中撒消毒粉液全城消毒了。老百姓更在意的是实实在在的措施，全国各地防疫工作的快速展开，领导人说什么不重要，相关各部门做什么才是关键。很多人真的是喜欢被套路，怀念那句“对不起人民群众，我来晚了！”那么需要领导人亲自去疫区视察安慰的“人民群众”，不如去烧香拜佛吧，那才是你长久的精神支柱。       ,,01月23日 12:07    ,rumor
