#北京地震##北京地震了##地震#   这两天的云这么漂亮，误以为是地震云。 经科普才得知地震云这一说目前尚无定论，也不被气象专家和地质专家认可。都怨小时候课文背得太深刻了。尽信书不如无书，而且知识更新太重要了。 北京,地震和云没多大关系;是两会云;没有地震云这种东西，中科院辟过谣的;,05月26日 01:03    ,rumor
#奶奶偶遇消防员孙子却挥手让他走##战士冒冰雹翻单杠604个破纪录##吉林火车站暂停办理乘车业务##新冠肺炎还会与人类共存很长时间##汶川地震搜救犬沈虎遗像落成#转：0575—12345投诉绍兴市越城区城管中队用野蛮执法代替文明宣传的违规行为！👉 【事由】：5月11日上午10点左右，一名群众带着自己的狗从农村到市区洗澡剃毛，在绍兴市越城区凤江路温馨花园大街上遇到了路过的犬管办行政执法车。城管用钳子夹住狗狗的头拖到车上，狗主人为了狗狗不受伤害，也上车一直抱着狗不让他们带走。附近的路人全部求城管放狗主人和狗一马，但城管不肯，并报了警。警察来了，帮着城管四五个人一起把狗抢走了。狗是主人的全部，主人拼尽全力保护自己的爱犬，却被现场警察和城管部门拼命压制主人抢夺其手上的狗！ 狗是主人的私有财产，城管野蛮粗暴执法严重违反了中华人民共和国法律巜物权法》严重侵犯了老百姓私有财产合法权益！光天化日众目睽睽之下，身穿警服伙同城管强力暴力压制抢夺一名进城给狗冼澡群众的狗，中国的哪条法律规定了农村人不可以带狗去城里洗澡，违反了哪条法律法规宪法？没有法律根据，胡乱抓人抓狗，谁赋予了城管如此暴力野蛮执法？请大家每人每天打电话投诉举报绍兴城管非法抢夺主人私有财产违法暴力野蛮行为！地址：绍兴市越城 区凤江路城南街道温馨花园 绍兴市越城区综合行政执法局地址：胜利东路219号 受理投诉电话,"揪出心怀鬼胎别有用心作恶制造乱的破坏份子  发现作恶制造乱的破坏份子立即举报    要求    动物福利   立法保护动物  让真正的大爱救助人管理照顾流浪动物    公示    仇恨  愤世   变态   精神问题   心里问题   凶残恶毒的暴徒   重刑重罚作恶制造乱的破坏份子 @辛苦为谁忙:狗收走，狗主人拘留。;现场执法公安民警该做啥、不该做啥，这里有标准答案   首发！一图解读 | 现场执法，公安民警应练就哪些“绝招”？(全是干货，建议收藏)   【聚焦】执法记录仪对于警察有多重要？这几个案例足够让你警醒！   关注丨城管到底管什么？该怎么执法？这回全要规定清楚了  新华社评论：城管执法办法不可""越位揽权""      物业有权处死流浪动物吗？打狗队可以入户抓狗吗？投毒毒狗违法吗？  http://t.cn/A6wQ0L5s   @辛苦为谁忙:狗收走，狗主人拘留。;揭秘反动保～”黑产”及“虐杀组织”成员的真实身份！  我们为什么要爱国？  爱国，就是做最好的自己！ 境外间谍策反手段曝光！窃密方式细思极恐……   过程曝光！某部委干部被境外间谍色诱策反 被判死缓     真相堪比谍战大片！窃我尖端武器机密间谍落网记   你若光明，中国便不黑暗  阴暗网络空间下的“黑色恐怖”  新华社评论员：看清香港乱局的由来和本质   http://t.cn/A6wQ0L5s      http://t.cn/A6wQ0L5s    http://t.cn/A6wQ0L5s;",05月13日 21:29    ,rumor
虎门大桥现在检测到钢丝绳断裂产生涡振，吊索受力不一致了，跟专家们反映一下38号缆绳断了！冤枉水马了，水马差点背锅@风中凌乱：钢丝绳断裂可能是真的，但那些所谓的专家没有检查就直接认为是水马就过分啦@wuyu：大风，水马，地震，重卡压桥，缆锈，还有什么名词？？？@用户5178354342302：这才是真正原因，什么“水马，水牛”，“涡流”一切都是假，广东省应开除那些假专家@zzz：这个，我不是相关专业的，我不懂什么范围是合理猜测，什么范围属于胡乱猜测。@赵国华：能找到问题就是最好的结果 润泽锦程Ttz的微博视频       ,回复@兰竹_G:你说有道理;应全部检查所有钢丝绳内钢丝线的断裂比率（1条钢丝绳内有若干条钢丝股及钢丝线，钢丝股及钢丝线线会单独断裂，而使整条钢丝绳的机械（抗拉）强度下降，给行车与大桥安全带来隐患）。及时更新（最好全部换新，超GB比例的）已经有内钢丝断的整条钢丝绳！;,05月11日 08:31    ,rumor
化工厂爆炸，跟地震似的，吓死人了 连云港 http,该视频是去年天津爆炸视频，不是今天赣榆化工厂的;酒厂;淡定 你安心睡 波及不到你;,04月21日 21:34    ,rumor
吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！你看这爹妈起的名字       ,,03月10日 09:28    ,rumor
#意大利封闭全国#吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！你看这爹妈起的名字[发呆]倒霉催的[尴尬] 宁波·象山影视城       ,确认是谣言，我刚看到，;这个是谁这么会编呢;哦。我看微信群转发的;,03月10日 09:26    ,rumor
吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！你看这爹妈起的名字倒霉催的也不知道是不是真的有这么个人，这个经历太强了，不过倒也值了       ,图片评论 评论配图;回复@S_Iridescent:;假的 76年tm连高考都没恢复  考个鬼;,03月10日 10:27    ,rumor
一个中国男人悲催传奇的一生吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！他传奇的一生终于画上了句号…… 无人书店的微博视频       ,已经处理，为什么别人还能看得到？为什么我自己删除不了？为什么设置成我自己分享也不行？是谣言，为什么不过滤就让我能发出来？这不是你们也有责任吗？凭什么只处罚我？;;,03月10日 05:12    ,rumor
#世卫组织警告全球性流行病威胁已成现实#吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！你看这爹妈起的名字[发呆]倒霉催的[尴尬]       ,造谣生事天打雷劈;回复@Branchard:这是微小说;吴？好运？？？;,03月10日 12:30    ,rumor
         吴好运的故事          (但愿是非小说)         吴好运（无好运）， 男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！        好运，姓吴，   希望一生有好运，出生时，取名后，叫“吴(谐音‘无’)好运”，结果，一生硬是命运多舛，终生时，真的实现了希望“无好运”！       (万州张老头搜集于发生在庚子鼠年的民间故事2020.3.9)       ,竟然有这样的事。早知道取名“吴男”（谐音“无难”）多好。;,03月09日 20:19    ,rumor
网传：吴好运（网友戏称无好运），男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！🙏🙏🙏 长沙·中山亭 珠玑子201704的微博视频       ,这是真的假的;扯犊子;疫情之中，人们排解压力的一个笑话。;,03月09日 13:09    ,rumor
一个小故事，应该是编撰的，某人叫吴好运，今年62岁，熬过了三年自然灾害，在唐山大地震废墟中生存，03年非典爆发的时候，在一线抗疫，后去北川祭祖又遭遇汶川大地震，这次在新冠肆虐下他虽感染却还是顽强的活了下来。可这次来到福建却被倒塌的欣佳宾馆压死了。他一次次躲过了天灾，但唯一一次死在了人祸。                ,天啊，原来这个消息是真的，我还以为是编撰的呢？;造谣;你一个大V号居然敢造谣，该当何罪。;,03月09日 14:49    ,rumor
一个人的命运吴好运，男，1958年6月生于四川省北川县，出生的第二年中国发生了三年自然灾害，饿了三年肚子的他慢慢长大了，然而他的父母却死于饥饿，1976年，17岁的他考入了华北煤炭医学院（唐山），1976年7月27日他从四川到学校报到，第二天，发生了唐山大地震，他在倒塌的房子下幸运地活了下来，2003年调入广州市第一人民医院，刚刚上班，非典爆发，2008年5月10日，他回家乡北川祭祖，还没来得及走，遇上了汶川大地震，2020年1月，调入武汉市中心医院，遇上了新冠肺炎，身为医生的他上了前线，1月27日被感染住院，2月23日病愈出院，前往福建泉州妻子处养病，入住欣佳宾馆隔离14天，3月7日晚，欣佳宾馆塌了，他没有躲过这次的追杀，享年62岁！#生活的模样##治愈不开心##微博问答#       ,考试的意思是命运不能自己掌控，顺其自然，该来的还是会来。;老师…这不能治愈不开心;目前没有人能离开武汉，所以他无法去泉州。;,03月09日 17:16    ,rumor
我一直在想这真的是全面奔小康的2020吗？当年郭美美事件红十字会的社会公信力失的还少吗？这么多年又一点一滴建立起来的一丝丝信任又在瞬间土崩瓦解。慈善不是交易，更不是名利场的工具。慈善是需要脚踏实地干实事，不会做就别做物资跑到莆田系医院，地震赈灾物资烂在仓库，协和医院没口罩,某会什么时候死？;姐妹你被举报了;举报的人心术不正;,02月18日 18:52    ,rumor
#土耳其发生6.8级地震##土耳其旅行##河南新增23例确诊病例# 信阳封城了，土耳其发生地震了，疫情又严重了，机票可以退全款了，下个月就该回国了，我该去哪 马尔代夫,别回来 真的;别回来了，疫情过后回也没关系的！;信阳没有封城 评论配图;,01月25日 15:21    ,rumor
当年汶川地震当中被兵哥哥救出的12岁女孩，从废墟下救出的时候，小女孩紧紧抱住19岁兵哥哥，兵哥哥静静的安抚她，直到后来女孩慢慢的停止哭泣，并且还像电影情节一样允诺兵哥哥10年后嫁给他，但是当时谁也没当真。之后小女孩把兵哥哥作为她学习的动力，在接下来这几年中，他们两个人都会用手机互相联系，然而兵哥哥还偶尔寄一些钱或者是物品给她读书，就这样十年过去了，这位兵哥哥也退役了。当这位女孩得知兵哥哥还是单身的时候，就发出了短信：“十年了，你该来娶我回家了！”这名兵哥哥深受震撼，但是他们的感情也从这时候拉开了序幕！最终他们真的步入了婚姻的殿堂，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！,,01月19日 16:00    ,rumor
你救我性命，我陪你余生！汶川地震19岁兵哥哥救出12岁的女孩；10年后女孩：你该来娶我回家了！#中国军事# #中国军人# #致敬中国军人# 军人之家的微博视频,博主，这是瞎编的故事，汶川地震拍摄照片的作者亲自出来辟谣了：照片中的小女孩当年只有2岁，现在还在读书……;辟谣了，净网2020;谁家十二岁长这样啊;,01月07日 22:25    ,rumor
当年汶川地震中被兵哥哥救出的12岁女孩时，紧紧抱住19岁的兵哥哥，允诺兵哥哥10年后嫁给他，但谁也没当真。而兵哥哥时常会寄一些钱或物品给她读书。十年过去了，这位救他的兵哥哥也退役了。小女孩发短信,2008.5.12救助，十年后2018.5.12结婚，时间过去19个月，到今天2020.1.5，已有了两个小孩。故事很美，但是时间轴有点紧。。;不用拿爱情去报恩;回复@阔带走滴小阔耐:主角都辟谣了;,01月05日 11:36    ,rumor
当年汶川地震中被兵哥哥救出的12岁女孩，如今他们已经育有一子一女，生活非常的幸福。——祝福他（她）们！,,2019/12/27 20:08,rumor
看来郭大侠得襄阳城是不欢迎我咋滴，啥时候都不震，就我来的时候震，说实话没经历过，感觉也就那么回事儿吧#湖北孝感地震# 襄阳                 ,回复@负却当年锦鸾书:唉说多了都是泪啊;回复@崔先森的崔:;回复@负却当年锦鸾书:删不了现在，微博给我标注了;,2019/12/27 8:21,rumor
据俄 《军工信使》报22日报道：美国东部时间11月21日18时22分，在南中国海检测到当量10-20千吨的爆炸，深度50米。目前中国大陆和台湾已检测到放射水平上升。目前信息正在确认。据halturnerradioshow网站报道，地震检测仪记录到强烈的冲击波。这不太像自然原因的地震，很可能是潜艇发生爆炸。据eadaily报道，美国核潜艇经常在这一海域活动。（救兵  译）突发！俄媒：疑似美国核潜艇在中国南海发生爆炸！       ,谣言就别乱发了;真的是美国核潜艇炸了的话，美国现在只怕炸锅了;做为一个前政府官员，别去转发谣言了;,2019/11/22 13:36,rumor
